ID,Critical Measures Visible,Date Accessed,Search term,Search page,Link,Video Title,Conductor Name,Baton,L.1-2.HandShape,L.3-5.HandShape,R.1-2.HandShape,R.3-5.HandShape,L.1-2.PalmOrientation,L.3-5.PalmOrientation,R.1-2.PalmOrientation,R.3-5.PalmOrientation,L.6-8.HandShape,R.6-8.HandShape,L.6-8.PalmOrientation,R.6-8.PalmOrientation,1-2.Cutoff,3-5.Cutoff,ExcludeYesNo,DownloadAvailability,FirstMeasuresBroken,AmandaComments,BodoComments,FullAuditoryPauseAfter1-2,FullAuditoryPauseAfter3-5
70,somewhat (@1:24),6/26/2015,beethoven 5th symphony first movement,12,https://www.youtube.com/watch?v=InKmDC9O7AY,Beethoven Symphony No. 5 part 1/3,Per Brevig,Yes,open,open,fist,fist,inward,inward>down,NA,NA,open,fist,inward,NA,no,no,ok,yes,no,,,,
71,somewhat,6/26/2015,beethoven 5th symphony first movement,12,https://www.youtube.com/watch?v=4DkaBfGxwBM,"Beethoven's Symphony No. 5, Movement 1",Steven Errante,Yes,fist>open,fist>open,fist,fist,NA>down,NA>down,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,,,,
72,NO,6/27/2015,beethoven 5th symphony 1st movement,4,https://www.youtube.com/watch?v=wyofHWrr3Zg,The Knights perform Beethoven's Symphony No. 5 in C minor - Allegro con brio,Eric Jacobsen,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Filmed from a distance/behind - hard to distinguish hand shapes; exclude,,,
73,somewhat,6/27/2015,beethoven 5th symphony 1st movement,4,https://www.youtube.com/watch?v=KBZiqurrmSc,"Orquesta SinfÑnica Juvenil de El Salvador - Beethoven's 5th Symphony, 1st Movement",Germàn Càceres,Yes,open>NA,NA>open,fist,fist,down>NA,NA>inward,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,Filmed from a distance/behind - hard to distinguish hand shapes; exclude,,,
74,yes,6/27/2015,beethoven 5th symphony 1st movement,5,https://www.youtube.com/watch?v=cRrnRe38Hh4,Beethoven 5th Symphony 1st Movement / Orquesta SinfÑnica Universidad de ConcepciÑn,Carlos Traverso guila,Yes,NA,open,fist,fist,NA,inward,NA,NA,open,fist,down,NA,no,yes,ok,yes,"yes, light background noise",,,,
75,yes,6/27/2015,beethoven 5th symphony 1st movement,9,https://www.youtube.com/watch?v=Wq4ia0qrWac,"BBC Maestro Sue Perkins ""Beethoven's Fifth Symphony""",Sue Perkins,No,open,open,open,open,up,up,up,up,open,open,down,down,no,no,ok,yes,no,Hands get cut from frame for part of the critical measures,,,
76,yes,6/27/2015,beethoven 5th symphony 1st movement,10,https://www.youtube.com/watch?v=bdTZvBlBkog,Beethoven Fifth Symphony First Movement Montpelier Chamber Orchestra,(name not given),Yes,open,open,fist,fist,inward,inward,NA,NA,open,fist,inward,NA,no,yes,ok,yes,no,,,,
77,NO,6/27/2015,beethoven 5th symphony 1st movement,10,https://www.youtube.com/watch?v=QJSA_nqdQYA,"West Covina Symphony Performs Beethoven's 5th Symphony , 1st mvt: Exposition",Sylvia Lee Mann,Yes,,,,,,,,,,,,,,,exclude,yes,NA,"Low video quality, hard to distinguish all handshapes",,,
78,NO,6/27/2015,beethoven 5th symphony 1st movement,11,https://www.youtube.com/watch?v=IwLkH886ZiM,Beethoven Symphony No 5. - 1st Mvt - NUSSO,Lim Soon Lee,Yes,,,,,,,,,,,,,,,exclude,yes,NA,,,,
79,NO,6/27/2015,beethoven 5th symphony 1st movement,12,https://www.youtube.com/watch?v=dj0kLDnsU2g,"Beethoven's 5th, 1st movement",(name not given),Yes,,,,,,,,,,,,,,,exclude,yes,NA,,,,
80,NO (@1:24),6/27/2015,beethoven 5th symphony 1st movement,13,https://www.youtube.com/watch?v=Yla-_B9GnaA,"Beethoven's 5th, 1st Movement-Awsome",(name not given),Yes,,,,,,,,,,,,,,,exclude,no,NA,,,,
81,NO,6/27/2015,beethoven 5th symphony 1st movement,13,https://www.youtube.com/watch?v=Sd7ZlgnEGZE,Symphony of Lights - Beethoven - Symphony no. 5 (1st. movement),Roni Porat,Yes,,,,,,,,,,,,,,,exclude,yes,NA,Light show during concert - hard to see handshapes at some points when it goes dark,,,
82,yes,6/27/2015,beethoven 5th symphony 1st movement,13,https://www.youtube.com/watch?v=RJHLu5JXrW4,Beethoven 5th Symphony I,Martin R. Jorge,No,fist>open,fist>open,fist,fist,NA>up,NA>up,NA,NA,fist,precision grip,NA,NA,no,yes,ok,yes,no,,,,
83,yes,6/27/2015,beethoven 5th symphony 1st movement,14,https://www.youtube.com/watch?v=RtJi6yxa0rM,Beethoven Symphony No.5 beginning of 1st Movement conducted by David Galant,David Galant,Yes,open,open,fist,fist,up,up,NA,NA,open,fist,down>inward,NA,no,yes,ok,yes,"yes, light background noise",,,,
84,yes,6/27/2015,beethoven 5th symphony 1st movement,16,https://www.youtube.com/watch?v=t2N1Hxi3vH8,"Beethoven's Symphony number 5, first movement.",(name not given),Yes,fist>open,fist>open,fist,fist,NA>up,NA>down,NA,NA,open,fist,down,NA,yes,yes,ok,yes,no but it's a very bad orchestra,,,,
85,yes (@0:49),6/27/2015,beethoven 5th symphony 1st movement,18,https://www.youtube.com/watch?v=0SSS9Y0nZco,Beethoven Symphony no 5(2003.04.19).mpg,Roman Leontiev,Yes,open>fist,open>fist,fist,fist,inward>NA,inward>NA,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,,,,
86,NO,6/27/2015,beethoven 5th symphony 1st movement,18,https://www.youtube.com/watch?v=JhKmec49xhg,Beethoven's fifth symphony,(name not given),No,,,,,,,,,,,,,,,exclude,yes,NA,"Recorded from a distance, hard to see handshapes but can see overall arm movement; exclude",,,
87,somewhat,6/27/2015,beethoven 5th symphony conductor,10,https://www.youtube.com/watch?v=2DyKCSx_dbw,French Woods Symphony Orchestra,(name not given),Yes,NA,NA,NA,NA,NA,NA,NA,NA,open,fist,down,NA,yes,yes,ok,yes,no,"Can see left hand after 2 and 5 for the cutoff, and for 6-8. However it is hard to see for the notes prior to the cutoffs.Should we still use this video?",,,
88,somewhat,6/27/2015,beethoven 5th symphony conductor,10,https://www.youtube.com/watch?v=JpGNxI33YAI,Having fun with Beethoven's 5th -,Doron Toister,Yes (LH!),fist,fist,NA,NA,NA,NA,NA,NA,fist,open,NA,down,no,yes,ok,yes,no,Baton in left hand; has hand dropped to side from 1-5,,,
89,yes,6/30/2015,beethoven 5th symphony conductor,12,https://www.youtube.com/watch?v=L0NO_zG8YdU,Nathan Madsen--Beethoven Symphony #5,Nathan Madsen,Yes,NA,NA,fist,fist,NA,NA,NA,NA,precision grip,fist,NA,NA,yes,yes,ok,yes,no,Hand at side from 1-5 except at cutoffs,,,
90,yes,6/30/2015,beethoven 5th symphony conductor,13,https://www.youtube.com/watch?v=Gx5WlDZW-As,beethoven symphony no 5,Justus Frantz,Yes,fist>open,fist>open,fist,fist,NA>inward,NA>inward,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,Weird baton wave during sustained note at measure 2?,,,
91,NO,6/30/2015,beethoven 5th symphony conductor,13,https://www.youtube.com/watch?v=8iUY73akcig,"Beethoven Symphony No.5 in C Minor, Op.67 (Cempaka Orchestra)",(name not given),Yes (LH!),fist,fist,NA,NA,NA,NA,NA,NA,fist,NA,NA,NA,yes,yes,exclude,yes,NA,"Baton in left hand; right hand dropped to side from 6-8, hard to see right hand except during cutoff... exclude?",,,
92,yes,6/30/2015,beethoven 5th symphony conductor,13,https://www.youtube.com/watch?v=-PiJSj5gfeQ,"AYS - Symphony No. 5 (Beethoven), Pre-tour Concert 2012",(name not given),Yes,NA,NA,fist,fist,NA,NA,NA,NA,open,fist,down,NA,no,no,ok,yes,no,"So this guy uses tiny little gestures to signal his orchestra (indicated in 6-8), which doesn't make sense because this is a Youth Orchestra (they are more likely to have less experience). Should we exclude this video altogether? At first when I watched this it looked like his hand was just at his side from 1-5 minus the cut off, but he might just be making small gestures the whole time. What do you think?",let's include this for now... at least let's think more about this; I find it actually very interesting: it seems to me that he is mapping the quietness of the piano part onto the lack of movement rather than on any hand shape features... and then he moves QUITE A LOT for whe forte => this could be an interesting video to show,,
93,yes,6/30/2015,beethoven 5th symphony conductor,14,https://www.youtube.com/watch?v=zjHtjSu8Olg,Beethoven symphony 5 I Mov.mpg,Sergey Lisovskiy,Yes,fist>open,open,fist,fist,NA>inward,inward,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,,,,
94,somewhat (@0:26),6/30/2015,beethoven 5th symphony conductor,14,https://www.youtube.com/watch?v=6JkayaC6zcY,"Beethoven - Symphony No. 5 in C minor Op. 67 , Allegro con brio",Damain Iorio,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,Left hand gestures are slightly difficult to see but you can still tell they are all open/down.,,,
95,NO,6/30/2015,beethoven 5th symphony conductor,14,https://www.youtube.com/watch?v=D5maBN4vqMs,Beethoven Symphony 5 Allegro con brio,Jose Flores,Yes,,,,,,,,,,,,,,,exclude,yes,NA,,,,
96,yes,6/30/2015,beethoven 5th symphony conductor,14,https://www.youtube.com/watch?v=xDmLu4v6ySY,"Beethoven, Symphony no. 5",Ronald Braunstein,Yes,NA,NA,fist,fist,NA,NA,NA,NA,open,fist,down,NA,no,yes,ok,yes,"yes, very light background noise","This guy conducts in a strange manner. He makes weird jerky movements and he doesn't completely put his arms down, but he quickly puts them down then up. How do I classify these movements?","very interesting! so, for the piano part that's a clear flat palm down gesture; what is that other thing? it seems a ""thrusting down"", with a closed fist (as far as I can see), but then he opens it and closes it on the holding note (which is VERY interesting); let's only classify the piano part on this one for now",,
97,somewhat,6/30/2015,beethoven 5th symphony conductor,20,https://www.youtube.com/watch?v=c2FS-ZsLUAU,"Beethoven Symphony No 5 C minor Daniel Harding, Mahler Chamber Orchestra",Daniel Harding,Yes,NA,NA,NA,NA,NA,NA,NA,NA,open,fist,down,NA,no,no,ok,yes,no,"Hands get cut from frame during part of critical measures, though from the position of his forearms in these frames, it appears as if palm orientation is down. Possibly all open handshapes, as seen from when he raises his arm into the frame. Should we keep this video or exclude?","so, I just watched this in slow motion... the left hand is clearly not visible on the first few measures but then for the piano... what I can see is this: his hand is semi-open, like holding an object and thrusting forward... and then bends inwards so that the palm faces downwards for the piano... so let's also just code the piano for this one since we can't really see the fore part",,
98,yes,6/30/2015,beethoven 5th symphony conductor,22,https://www.youtube.com/watch?v=Wr0krmuFgbY,Beethoven Symphony n 5 - NPO Klemperer (Live1970),Otto Klemperer,Yes,point,point,fist,fist,NA,NA,NA,NA,point,fist,NA,NA,no,yes,ok,yes,no,Does a pointing gesture the entire time,,,
99,yes,07/02/15,beethoven 5th symphony allegro con brio,2,https://www.youtube.com/watch?v=Urgk91Q553A,Beethoven - Symphony No. 5 (Thomas Hengelbrock): 1. Allegro con brio,Thomas Hengelbrock,Yes,open>fist,open>fist,fist,fist,inward>NA,inward>NA,NA,NA,precision grip,fist,NA,NA,no,yes,ok,yes,no,6-8 almost looks like a precision grip but it could just be open/down. What do you think?,looks like a precision grip to me,,
100,"yes (@1:26)
",07/02/15,beethoven 5th symphony allegro con brio,6,https://www.youtube.com/watch?v=2-bHyfk4wEY,Symphony No 5. First Movement: Allegro con Brio (Beethoven),Mark Kleyn,Yes,open,open,fist,fist,inward>down,inward>down,NA,NA,open,fist,down,NA,yes,yes,ok,yes,"yes, man coughs plus bad orchestra",,,,
101,yes,2/28/2016,beethoven 5th symphony allegro con brio,7,https://www.youtube.com/watch?v=-M6BfsYcRGQ,BEETHOVEN: Symphony No. 5 in C minor - BUDAPEST SCORING SYMPHONIC ORCHESTRA,Daniel Somogyi-Toth,Yes,open,open,fist,fist,down>inward,inward,NA,NA,precision grip>open,fist,NA>down,NA,no,no,ok,yes,no,,,,
102,yes,2/28/2016,beethoven 5th symphony allegro con brio,9,https://www.youtube.com/watch?v=KJNdU3U4IsU,Beethoven/Symphony No. 5/1. Allegro con brio,Lorin Maazel,Yes,open,open,fist,fist,down,down,NA,NA,open,fist,down,NA,no,yes,ok,yes,no,,,,
103,yes,2/28/2016,beethoven 5th symphony allegro con brio,13,https://www.youtube.com/watch?v=zPzJnqjLyH0,Beethoven Symphony No. 5 - 1st mov. (Allegro con brio). Run-through rehearsal,Gad Lev,Yes,open>fist,fist>open,fist,fist,down>NA,NA>up,NA,NA,precision grip,fist,NA,NA,yes,yes,ok,yes,"yes, background audience noise",,,,
104,yes,2/28/2016,beethoven 5th symphony movement 1,1,https://www.youtube.com/watch?v=mXrV_y03c0o,"Beethoven: 5th Symphony, 1st Mvmt „ Karajan / Berliner Philharmoniker",Herbert von Karajan,Yes,fist,fist>open,fist,fist,NA,NA>up,NA,NA,open,fist,down,NA,no,yes,ok,no,NA,,,,
105,somewhat (@0:45),2/28/2016,beethoven 5th symphony movement 1,4,https://www.youtube.com/watch?v=xNgHSF5tklY,The Quinte Symphony - Live! Beethoven 5th Symphony M-1,Dan Tremblay,Yes,open,open,fist,fist,down>up,down>up,NA,NA,precision grip,fist,NA,NA,yes,yes,ok,yes,"yes, muffled background interference",,,,
